index,word,emoji1,emoji2,description
1,abandon,🏃,😶,Runner and Face Without Mouth evoke the core meaning or feeling behind 'abandon'
2,ability,🧠,💪,Brain plus Flexed Biceps form a recognizable group, reinforcing the idea of 'ability'
3,able,💪,🧠,Flexed Biceps plus Brain form a recognizable group, reinforcing the idea of 'able'
4,about,💭,📍,Thought Balloon and Round Pushpin evoke the core meaning or feeling behind 'about'
5,above,⬆,☁,Upwards Black Arrow with Cloud together illustrate movement or relation, pointing to 'above'
6,absent,🚫,👤,No Entry Sign and Bust in Silhouette evoke the core meaning or feeling behind 'absent'
7,absorb,🧽,💧,Sponge plus Droplet form a recognizable group, reinforcing the idea of 'absorb'
8,abstract,🎨,📐,Artist Palette and Triangular Ruler evoke the core meaning or feeling behind 'abstract'
9,absurd,🤪,🙃,Grinning Face with with Upside-down Face together illustrate movement or relation, pointing to 'absurd'
10,abuse,🚫,👊,No Entry Sign and Fisted Hand Sign evoke the core meaning or feeling behind 'abuse'
11,access,🔑,🚪,Key plus Door form a recognizable group, reinforcing the idea of 'access'
12,accident,🚗,💥,Automobile and Collision Symbol evoke the core meaning or feeling behind 'accident'
13,account,🏦,📊,Bank and Bar Chart evoke the core meaning or feeling behind 'account'
14,accuse,⚖,👉,Scales with White Right Pointing together illustrate movement or relation, pointing to 'accuse'
15,achieve,🏆,🎯,Trophy and Direct Hit evoke the core meaning or feeling behind 'achieve'
16,acid,⚗,🧪,Alembic and Test Tube evoke the core meaning or feeling behind 'acid'
17,acoustic,🎻,🎶,Violin and Multiple Musical Notes hint at sound or naming cues associated with 'acoustic'
18,acquire,📥,📦,Inbox Tray and Package evoke the core meaning or feeling behind 'acquire'
19,across,↔,🌉,Left Right Arrow with Bridge At Night together illustrate movement or relation, pointing to 'across'
20,act,🎭,🎬,Performing Arts and Clapper Board evoke the core meaning or feeling behind 'act'
21,action,🎬,⚡,Clapper Board and High Voltage Sign evoke the core meaning or feeling behind 'action'
22,actor,🎬,👨,Clapper Board and Man evoke the core meaning or feeling behind 'actor'
23,actress,🎬,👩,Clapper Board and Woman evoke the core meaning or feeling behind 'actress'
24,actual,⚖️,📏,Scales and Straight Ruler evoke the core meaning or feeling behind 'actual'
25,adapt,🧬,🦎,Dna Double Helix and Lizard evoke the core meaning or feeling behind 'adapt'
26,add,➕,➕,Heavy Plus Sign and Heavy Plus Sign evoke the core meaning or feeling behind 'add'
27,addict,💊,🔗,Pill and Link Symbol evoke the core meaning or feeling behind 'addict'
28,address,🏠,📍,House Building and Round Pushpin evoke the core meaning or feeling behind 'address'
29,adjust,⚙,🔧,Gear plus Wrench form a recognizable group, reinforcing the idea of 'adjust'
30,admit,🚪,🙋,Door and Happy Person Raising evoke the core meaning or feeling behind 'admit'
31,adult,👩,👨,Woman and Man evoke the core meaning or feeling behind 'adult'
32,advance,⏩,📈,Black Right-pointing Double with Chart with Upwards together illustrate movement or relation, pointing to 'advance'
33,advice,🗣,💡,Speaking Head in and Electric Light Bulb evoke the core meaning or feeling behind 'advice'
34,aerobic,🤸,🤸,Person Doing Cartwheel and Person Doing Cartwheel evoke the core meaning or feeling behind 'aerobic'
35,affair,💌,🤫,Love Letter and Face with Finger evoke the core meaning or feeling behind 'affair'
36,afford,💵,🛍,Banknote with Dollar and Shopping Bags hint at sound or naming cues associated with 'afford'
37,afraid,😨,😱,Fearful Face and Face Screaming in evoke the core meaning or feeling behind 'afraid'
38,again,🔁,🔁,Clockwise Rightwards and with Clockwise Rightwards and together illustrate movement or relation, pointing to 'again'
39,age,🎂,📅,Birthday Cake and Calendar evoke the core meaning or feeling behind 'age'
40,agent,🕵,💼,Sleuth Or Spy and Briefcase evoke the core meaning or feeling behind 'agent'
41,agree,🤝,💬,Handshake and Speech Balloon evoke the core meaning or feeling behind 'agree'
42,ahead,⬆,🚶,Upwards Black Arrow with Pedestrian together illustrate movement or relation, pointing to 'ahead'
43,aim,🏹,🎯,Bow and Arrow with Direct Hit together illustrate movement or relation, pointing to 'aim'
44,air,🌬,💨,Wind Blowing Face and Dash Symbol evoke the core meaning or feeling behind 'air'
45,airport,✈️,✈️,Airplane and Airplane evoke the core meaning or feeling behind 'airport'
46,aisle,🥫,🛒,Canned Food and Shopping Trolley evoke the core meaning or feeling behind 'aisle'
47,alarm,⏰,❗,Alarm Clock plus Heavy Exclamation Mark form a recognizable group, reinforcing the idea of 'alarm'
48,album,💿,🎶,Optical Disc and Multiple Musical Notes hint at sound or naming cues associated with 'album'
49,alcohol,🍺,🍷,Beer Mug and Wine Glass evoke the core meaning or feeling behind 'alcohol'
50,alert,🚨,👀,Police Cars Revolving and Eyes evoke the core meaning or feeling behind 'alert'
51,alien,👽,👽,Extraterrestrial Alien and Extraterrestrial Alien evoke the core meaning or feeling behind 'alien'
52,all,🌍,♾,Earth Globe Europe-africa and Permanent Paper Sign evoke the core meaning or feeling behind 'all'
53,alley,🛣,🏙,Motorway and Cityscape evoke the core meaning or feeling behind 'alley'
54,allow,👍,✍,Thumbs Up Sign with Writing Hand together illustrate movement or relation, pointing to 'allow'
55,almost,🤏,😅,Pinching Hand and Smiling Face with evoke the core meaning or feeling behind 'almost'
56,alone,👤,🌙,Bust in Silhouette and Crescent Moon evoke the core meaning or feeling behind 'alone'
57,alpha,🔠,🅰,Input Symbol For and Negative Squared Latin evoke the core meaning or feeling behind 'alpha'
58,already,📍,✅,Round Pushpin and White Heavy Check evoke the core meaning or feeling behind 'already'
59,also,➕,🤝,Heavy Plus Sign and Handshake evoke the core meaning or feeling behind 'also'
60,alter,🔄,🎭,Anticlockwise Downwards and with Performing Arts together illustrate movement or relation, pointing to 'alter'
61,always,🔁,♾,Clockwise Rightwards and with Permanent Paper Sign together illustrate movement or relation, pointing to 'always'
62,amateur,🧰,👶,Toolbox plus Baby form a recognizable group, reinforcing the idea of 'amateur'
63,amazing,🤩,🌟,Grinning Face with and Glowing Star evoke the core meaning or feeling behind 'amazing'
64,among,👥,🌐,Busts in Silhouette and Globe with Meridians evoke the core meaning or feeling behind 'among'
65,amount,📊,💲,Bar Chart and Heavy Dollar Sign evoke the core meaning or feeling behind 'amount'
66,amused,😆,🎭,Smiling Face with and Performing Arts evoke the core meaning or feeling behind 'amused'
67,analyst,📊,🧠,Bar Chart plus Brain form a recognizable group, reinforcing the idea of 'analyst'
68,anchor,⚓,⚓,Anchor and Anchor evoke the core meaning or feeling behind 'anchor'
69,ancient,🏛,📜,Classical Building and Scroll evoke the core meaning or feeling behind 'ancient'
70,anger,😠,💢,Angry Face and Anger Symbol evoke the core meaning or feeling behind 'anger'
71,angle,📐,📏,Triangular Ruler and Straight Ruler evoke the core meaning or feeling behind 'angle'
72,angry,😡,🔥,Pouting Face plus Fire form a recognizable group, reinforcing the idea of 'angry'
73,animal,🐾,🐾,Paw Prints and Paw Prints evoke the core meaning or feeling behind 'animal'
74,ankle,🦶,🦴,Foot and Bone evoke the core meaning or feeling behind 'ankle'
75,announce,📰,📢,Newspaper and Public Address Loudspeaker hint at sound or naming cues associated with 'announce'
76,annual,📅,🔁,Calendar with Clockwise Rightwards and together illustrate movement or relation, pointing to 'annual'
77,another,🔄,➕,Anticlockwise Downwards and with Heavy Plus Sign together illustrate movement or relation, pointing to 'another'
78,answer,🧠,💬,Brain plus Speech Balloon form a recognizable group, reinforcing the idea of 'answer'
79,antenna,📡,📡,Satellite Antenna and Satellite Antenna evoke the core meaning or feeling behind 'antenna'
80,antique,🏺,🕰,Amphora plus Mantelpiece Clock form a recognizable group, reinforcing the idea of 'antique'
81,anxiety,😰,💭,Face with Open and Thought Balloon evoke the core meaning or feeling behind 'anxiety'
82,any,❓,🔀,Black Question Mark with Twisted Rightwards Arrows together illustrate movement or relation, pointing to 'any'
83,apart,↔,🏠,Left Right Arrow with House Building together illustrate movement or relation, pointing to 'apart'
84,apology,🙏,💬,Person with Folded and Speech Balloon evoke the core meaning or feeling behind 'apology'
85,appear,👀,✨,Eyes and Sparkles evoke the core meaning or feeling behind 'appear'
86,apple,🍎,🍎,Red Apple and Red Apple evoke the core meaning or feeling behind 'apple'
87,approve,👍,🥲,Thumbs Up Sign with Smiling Face with together illustrate movement or relation, pointing to 'approve'
88,april,🌸,📅,Cherry Blossom and Calendar evoke the core meaning or feeling behind 'april'
89,arch,🏛,🎯,Classical Building and Direct Hit evoke the core meaning or feeling behind 'arch'
90,arctic,🥶,🦭,Freezing Face and Seal evoke the core meaning or feeling behind 'arctic'
91,area,📍,📐,Round Pushpin and Triangular Ruler evoke the core meaning or feeling behind 'area'
92,arena,🏟,🎤,Stadium and Microphone hint at sound or naming cues associated with 'arena'
93,argue,🗣,⚡,Speaking Head in and High Voltage Sign evoke the core meaning or feeling behind 'argue'
94,arm,💪,🦾,Flexed Biceps and Mechanical Arm evoke the core meaning or feeling behind 'arm'
95,armed,🔫,🛡,Pistol and Shield evoke the core meaning or feeling behind 'armed'
96,armor,🪖,🛡,Military Helmet and Shield evoke the core meaning or feeling behind 'armor'
97,army,🎖,👥,Military Medal and Busts in Silhouette evoke the core meaning or feeling behind 'army'
98,around,🔄,🌍,Anticlockwise Downwards and with Earth Globe Europe-africa together illustrate movement or relation, pointing to 'around'
99,arrange,📅,📦,Calendar and Package evoke the core meaning or feeling behind 'arrange'
100,arrest,👮,🔗,Police Officer and Link Symbol evoke the core meaning or feeling behind 'arrest'
101,arrive,🛬,📍,Airplane Arriving and Round Pushpin evoke the core meaning or feeling behind 'arrive'
102,arrow,➡,🏹,Black Rightwards Arrow with Bow and Arrow together illustrate movement or relation, pointing to 'arrow'
103,art,🎨,🖌,Artist Palette with Lower Left Paintbrush together illustrate movement or relation, pointing to 'art'
104,artefact,🏺,📜,Amphora and Scroll evoke the core meaning or feeling behind 'artefact'
105,artist,🎨,👩,Artist Palette and Woman evoke the core meaning or feeling behind 'artist'
106,artwork,🖼,🖌,Frame with Picture with Lower Left Paintbrush together illustrate movement or relation, pointing to 'artwork'
107,ask,❓,💬,Black Question Mark and Speech Balloon evoke the core meaning or feeling behind 'ask'
108,aspect,🔍,📐,Left-pointing Magnifying Glass with Triangular Ruler together illustrate movement or relation, pointing to 'aspect'
109,assault,👊,💥,Fisted Hand Sign and Collision Symbol evoke the core meaning or feeling behind 'assault'
110,asset,💰,🏦,Money Bag and Bank evoke the core meaning or feeling behind 'asset'
111,assist,🤝,⚽,Handshake and Soccer Ball evoke the core meaning or feeling behind 'assist'
112,assume,🤔,📜,Thinking Face and Scroll evoke the core meaning or feeling behind 'assume'
113,asthma,😮,🫁,Face with Open and Lungs evoke the core meaning or feeling behind 'asthma'
114,athlete,🏃,🏅,Runner and Sports Medal evoke the core meaning or feeling behind 'athlete'
115,atom,⚛️,⚛️,Atom Symbol and Atom Symbol evoke the core meaning or feeling behind 'atom'
116,attack,⚔️,💥,Crossed Swords with Collision Symbol together illustrate movement or relation, pointing to 'attack'
117,attend,✋,🏫,Raised Hand and School evoke the core meaning or feeling behind 'attend'
118,attitude,🙂,👍,Slightly Smiling Face with Thumbs Up Sign together illustrate movement or relation, pointing to 'attitude'
119,attract,🧲,❤,Magnet and Heavy Black Heart evoke the core meaning or feeling behind 'attract'
120,auction,🔨,💵,Hammer and Banknote with Dollar hint at sound or naming cues associated with 'auction'
121,audit,📊,🔍,Bar Chart with Left-pointing Magnifying Glass together illustrate movement or relation, pointing to 'audit'
122,august,🌅,✨,Sunrise plus Sparkles form a recognizable group, reinforcing the idea of 'august'
123,aunt,👩,👶,Woman and Baby evoke the core meaning or feeling behind 'aunt'
124,author,✍,📖,Writing Hand plus Open Book form a recognizable group, reinforcing the idea of 'author'
125,auto,🏎️,🚙,Racing Car and Recreational Vehicle evoke the core meaning or feeling behind 'auto'
126,autumn,🍁,🎃,Maple Leaf with Jack-o-lantern together illustrate movement or relation, pointing to 'autumn'
127,average,📊,🧮,Bar Chart and Abacus evoke the core meaning or feeling behind 'average'
128,avocado,🥑,🥑,Avocado and Avocado evoke the core meaning or feeling behind 'avocado'
129,avoid,🚫,🚫,No Entry Sign and No Entry Sign evoke the core meaning or feeling behind 'avoid'
130,awake,⏰,🙋,Alarm Clock plus Happy Person Raising form a recognizable group, reinforcing the idea of 'awake'
131,aware,👀,💡,Eyes and Electric Light Bulb evoke the core meaning or feeling behind 'aware'
132,away,➡,🚪,Black Rightwards Arrow with Door together illustrate movement or relation, pointing to 'away'
133,awesome,🌟,🎉,Glowing Star and Party Popper evoke the core meaning or feeling behind 'awesome'
134,awful,😖,👎,Confounded Face with Thumbs Down Sign together illustrate movement or relation, pointing to 'awful'
135,awkward,😬,🪵,Grimacing Face and Wood evoke the core meaning or feeling behind 'awkward'
136,axis,🔭,📐,Telescope and Triangular Ruler evoke the core meaning or feeling behind 'axis'
137,baby,🍼,👶,Baby Bottle and Baby evoke the core meaning or feeling behind 'baby'
138,bachelor,🎓,👨,Graduation Cap and Man evoke the core meaning or feeling behind 'bachelor'
139,bacon,🥓,🥓,Bacon and Bacon evoke the core meaning or feeling behind 'bacon'
140,badge,🪪,👮,Identification Card plus Police Officer form a recognizable group, reinforcing the idea of 'badge'
141,bag,👜,📦,Handbag and Package evoke the core meaning or feeling behind 'bag'
142,balance,🤸,⚖,Person Doing Cartwheel and Scales evoke the core meaning or feeling behind 'balance'
143,balcony,🏠,🪟,House Building and Window evoke the core meaning or feeling behind 'balcony'
144,ball,⚽,⚽,Soccer Ball and Soccer Ball evoke the core meaning or feeling behind 'ball'
145,bamboo,🎋,🎋,Tanabata Tree plus Tanabata Tree form a recognizable group, reinforcing the idea of 'bamboo'
146,banana,🍌,🍌,Banana and Banana evoke the core meaning or feeling behind 'banana'
147,banner,🚩,🧾,Triangular Flag on and Receipt evoke the core meaning or feeling behind 'banner'
148,bar,🧼,🍷,Bar of Soap and Wine Glass evoke the core meaning or feeling behind 'bar'
